id,timestamp,price_sq_m,material_monolit,green_zone_part,industrial_part,ttk_km,trc_count
8285,6/1/2013,150980.392156863,0,0.083809588,0.371148999,12.75509186,15
8394,6/7/2013,200000,0,0.169625419,0.019508796,1.80085356,39
8560,6/18/2013,204225.352112676,0,0.297166335,0,6.828562624,24
8642,6/24/2013,181818.181818182,0,0.069670879,0.130617806,6.006676769,33
8814,7/1/2013,196153.846153846,0,0.070662054,0.035145267,8.955545043,23
9069,7/9/2013,196969.696969697,0,0.069670879,0.130617806,7.259686273,27
9110,7/10/2013,158139.534883721,0,0.069670879,0.130617806,8.921792263,24
9121,7/10/2013,169047.619047619,0,0.133372781,0.309479124,5.720875677,35
9127,7/11/2013,184210.526315789,0,0.070662054,0.035145267,7.69690768,28
9201,7/15/2013,152702.702702703,0,0.083809588,0.371148999,11.22848159,21
9253,7/17/2013,152173.913043478,0,0.069670879,0.130617806,8.681830509,25
9430,7/24/2013,126923.076923077,0,0.058543047,0.025609157,15.01827723,8
9453,7/25/2013,133000,1,0.331075802,0.000991,8.188557381,45
9539,7/31/2013,125000,0,0.083809588,0.371148999,12.13484997,20
9597,8/2/2013,151136.363636364,0,0.133372781,0.309479124,7.535063791,37
9604,8/2/2013,226923.076923077,0,0.199430788,0.081943463,0.956949879,64
9671,8/6/2013,180851.063829787,1,0.133372781,0.309479124,8.270963228,34
9694,8/7/2013,138888.888888889,0,0.058543047,0.025609157,14.79303403,9
9750,8/10/2013,164383.561643836,0,0.169625419,0.019508796,4.844004735,36
9755,8/12/2013,141509.433962264,0,0.083809588,0.371148999,12.37418025,15
9756,8/12/2013,166101.694915254,0,0.169625419,0.019508796,4.76304239,38
9757,8/12/2013,117045.454545455,0,0.083809588,0.371148999,12.71586221,10
9841,8/15/2013,123333.333333333,0,0.058543047,0.025609157,15.71568412,7
9846,8/15/2013,184375,0,0.133372781,0.309479124,5.042811469,42
9888,8/16/2013,140000,0,0.083809588,0.371148999,12.53227255,11
9893,8/16/2013,160344.827586207,0,0.070662054,0.035145267,7.69690768,28
10016,8/22/2013,168918.918918919,0,0.083809588,0.371148999,11.41013722,21
10020,8/22/2013,122972.972972973,0,0.083809588,0.371148999,12.6055929,11
10033,8/23/2013,194736.842105263,0,0.297166335,0,9.825659541,17
10064,8/26/2013,209090.909090909,0,0.199430788,0.081943463,1.045146113,62
10114,8/28/2013,189726.02739726,0,0.297166335,0,8.024270474,18
10187,8/30/2013,118822.033898305,1,0.169625419,0.019508796,3.861552271,44
10229,9/2/2013,132407.407407407,0,0.058543047,0.025609157,16.28523864,7
10318,9/6/2013,194444.444444444,0,0.169625419,0.019508796,4.857984875,37
10330,9/6/2013,177027.027027027,0,0.070662054,0.035145267,7.374381974,28
10332,9/6/2013,132075.471698113,0,0.070662054,0.035145267,6.935044366,28
10410,9/11/2013,137804.878048781,0,0.058543047,0.025609157,14.631503,9
10440,9/12/2013,145945.945945946,0,0.083809588,0.371148999,12.18526699,19
10445,9/12/2013,231666.666666667,0,0.297166335,0,7.910572905,19
10499,9/13/2013,103448.275862069,0,0.069670879,0.130617806,8.63247155,27
10553,9/17/2013,215254.237288136,0,0.169625419,0.019508796,4.709308586,37
10561,9/17/2013,185714.285714286,0,0.069670879,0.130617806,7.171472518,27
10562,9/17/2013,134426.666666667,0,0.133372781,0.309479124,6.335110391,39
10568,9/17/2013,180921.052631579,0,0.070662054,0.035145267,7.69690768,28
10598,9/19/2013,155263.157894737,0,0.083809588,0.371148999,12.19876562,17
10616,9/19/2013,186486.486486486,0,0.083809588,0.371148999,12.4226634,11
10625,9/20/2013,143103.448275862,0,0.083809588,0.371148999,13.19587598,10
10637,9/20/2013,67435.8974358974,1,0.083809588,0.371148999,12.6055929,11
10639,9/20/2013,93333.3333333333,0,0.169625419,0.019508796,3.759125033,42
10651,9/21/2013,188888.888888889,0,0.070662054,0.035145267,7.957367957,20
10685,9/24/2013,150000,0,0.069670879,0.130617806,6.583466571,33
10703,9/24/2013,161538.461538462,0,0.169625419,0.019508796,4.683903087,37
10717,9/25/2013,187179.487179487,0,0.169625419,0.019508796,1.842771518,41
10786,9/27/2013,88203.05,0,0.069670879,0.130617806,7.583216978,27
10815,9/27/2013,136842.105263158,0,0.069670879,0.130617806,9.098259725,21
10857,9/30/2013,162162.162162162,0,0.083809588,0.371148999,12.4226634,11
10934,10/2/2013,157384.615384615,0,0.133372781,0.309479124,8.056846193,32
10964,10/3/2013,195353.421052632,0,0.133372781,0.309479124,6.397490417,38
11009,10/4/2013,146666.666666667,0,0.083809588,0.371148999,11.51522709,21
11016,10/5/2013,215789.473684211,0,0.169625419,0.019508796,1.392683182,41
11054,10/7/2013,84826,0,0.133372781,0.309479124,9.625238462,29
11057,10/7/2013,168181.818181818,0,0.331075802,0.000991,7.24876354,47
11104,10/9/2013,133333.333333333,0,0.331075802,0.000991,8.188913189,49
11106,10/9/2013,128947.368421053,0,0.070662054,0.035145267,7.21856072,27
11126,10/9/2013,188679.245283019,0,0.331075802,0.000991,7.796358754,36
11130,10/9/2013,138297.872340426,0,0.070662054,0.035145267,7.521241126,27
11140,10/10/2013,206666.666666667,0,0.169625419,0.019508796,5.312046323,37
11165,10/11/2013,135294.117647059,0,0.069670879,0.130617806,8.693427517,27
11167,10/11/2013,148780.487804878,0,0.069670879,0.130617806,8.7504248,26
11181,10/11/2013,202702.702702703,0,0.169625419,0.019508796,0.804315255,45
11189,10/11/2013,223684.210526316,0,0.297166335,0,7.620542923,21
11202,10/14/2013,151111.111111111,0,0.133372781,0.309479124,4.870810941,38
11265,10/16/2013,296363.636363636,0,0.199430788,0.081943463,2.200114917,78
11279,10/16/2013,161428.571428571,0,0.058543047,0.025609157,15.49395385,8
11337,10/18/2013,195238.095238095,0,0.070662054,0.035145267,7.369948943,27
11363,10/19/2013,195945.945945946,0,0.070662054,0.035145267,6.565661756,30
11449,10/22/2013,207500,0,0.070662054,0.035145267,7.145251555,28
11452,10/22/2013,142105.263157895,0,0.083809588,0.371148999,11.99526534,18
11567,10/25/2013,127358.490566038,0,0.083809588,0.371148999,11.22848159,21
11574,10/25/2013,155000,0,0.133372781,0.309479124,4.985571764,40
11633,10/28/2013,93108.1081081081,0,0.058543047,0.025609157,15.49395385,8
11634,10/29/2013,138157.894736842,0,0.058543047,0.025609157,15.55210985,8
11643,10/29/2013,136666.666666667,0,0.069670879,0.130617806,9.537234197,21
11715,10/31/2013,184905.660377359,0,0.331075802,0.000991,8.64456988,43
11740,10/31/2013,222222.222222222,0,0.297166335,0,7.971365077,19
11741,10/31/2013,142857.142857143,0,0.199430788,0.081943463,1.409422838,74
11792,11/5/2013,128205.128205128,1,0.070662054,0.035145267,7.21856072,27
11797,11/5/2013,176666.666666667,0,0.069670879,0.130617806,9.625592216,22
11805,11/5/2013,178125,0,0.133372781,0.309479124,5.266349228,38
11818,11/5/2013,195522.388059701,1,0.070662054,0.035145267,6.439412566,32
11834,11/6/2013,134210.526315789,0,0.058543047,0.025609157,15.82323544,9
11858,11/6/2013,212500,0,0.199430788,0.081943463,1.222132754,70
11863,11/6/2013,178787.878787879,0,0.069670879,0.130617806,6.343764814,33
11866,11/6/2013,146385.542168675,0,0.070662054,0.035145267,11.38249774,16
11903,11/7/2013,137837.837837838,0,0.058543047,0.025609157,15.97225298,7
11924,11/7/2013,167368.421052632,1,0.331075802,0.000991,8.480654496,44
11958,11/8/2013,183333.333333333,0,0.133372781,0.309479124,5.496998655,37
11963,11/8/2013,152631.578947368,0,0.133372781,0.309479124,5.485983907,38
12020,11/11/2013,179032.258064516,0,0.070662054,0.035145267,7.968353861,25
12027,11/11/2013,195679.012345679,0,0.070662054,0.035145267,6.948325015,29
12044,11/12/2013,46163.6363636364,1,0.169625419,0.019508796,1.827734252,43
12053,11/12/2013,162500,0,0.069670879,0.130617806,7.372574671,27
12054,11/12/2013,185294.117647059,0,0.070662054,0.035145267,7.131757638,27
12060,11/12/2013,205263.157894737,0,0.070662054,0.035145267,7.702870235,24
12070,11/12/2013,210909.090909091,0,0.199430788,0.081943463,0.820754809,41
12109,11/13/2013,206185.567010309,0,0.070662054,0.035145267,6.10440877,32
12117,11/14/2013,155637.72,0,0.169625419,0.019508796,3.662458577,43
12128,11/14/2013,266666.666666667,0,0.199430788,0.081943463,0.557775492,43
12179,11/14/2013,168637.5,1,0.169625419,0.019508796,6.035625615,36
12216,11/15/2013,54842.1052631579,1,0.070662054,0.035145267,6.804285745,30
12229,11/18/2013,144358.974358974,0,0.058543047,0.025609157,15.65334034,9
12244,11/18/2013,124528.301886792,0,0.058543047,0.025609157,15.42997878,9
12251,11/18/2013,217142.857142857,0,0.169625419,0.019508796,1.25027792,39
12317,11/20/2013,164383.561643836,0,0.070662054,0.035145267,6.44666631,32
12355,11/20/2013,178461.538461538,0,0.169625419,0.019508796,3.342798691,35
12362,11/21/2013,160606.060606061,0,0.169625419,0.019508796,4.796017687,38
12384,11/21/2013,144901.639344262,0,0.133372781,0.309479124,6.810398073,36
12401,11/22/2013,208333.333333333,0,0.331075802,0.000991,8.232738084,48
12403,11/22/2013,158064.516129032,0,0.133372781,0.309479124,4.889675891,42
12438,11/25/2013,129629.62962963,0,0.058543047,0.025609157,14.79303403,9
12456,11/25/2013,158730.158730159,0,0.083809588,0.371148999,12.4226634,11
12523,11/26/2013,166051.648351648,0,0.169625419,0.019508796,6.154473769,36
12525,11/26/2013,212500,0,0.169625419,0.019508796,1.475277033,35
12531,11/27/2013,162222.222222222,0,0.069670879,0.130617806,6.753705005,30
12547,11/27/2013,154054.054054054,0,0.083809588,0.371148999,13.0287749,10
12576,11/27/2013,168181.818181818,0,0.069670879,0.130617806,8.454981832,27
12581,11/27/2013,123529.411764706,0,0.058543047,0.025609157,14.198621,10
12599,11/28/2013,112837.837837838,0,0.058543047,0.025609157,16.18206195,7
12632,11/29/2013,156756.756756757,0,0.083809588,0.371148999,12.0132408,20
12654,11/29/2013,121621.621621622,0,0.331075802,0.000991,8.736544004,28
12674,12/2/2013,195111.111111111,0,0.070662054,0.035145267,7.259919475,25
12702,12/2/2013,168518.518518519,0,0.331075802,0.000991,8.828713813,29
12727,12/3/2013,158181.818181818,0,0.070662054,0.035145267,8.31973407,25
12746,12/3/2013,197058.823529412,0,0.070662054,0.035145267,6.010414424,32
12762,12/3/2013,135365.853658537,0,0.083809588,0.371148999,12.4058684,15
12763,12/3/2013,202020.202020202,0,0.297166335,0,7.993044592,19
12767,12/4/2013,155172.413793103,0,0.069670879,0.130617806,9.045166111,23
12806,12/4/2013,222222.222222222,0,0.297166335,0,7.764621462,21
12827,12/5/2013,203125,0,0.070662054,0.035145267,8.955545043,23
12859,12/6/2013,169230.769230769,0,0.069670879,0.130617806,6.941005324,29
12864,12/6/2013,138043.47826087,0,0.133372781,0.309479124,6.48695381,36
12870,12/6/2013,193037.833333333,1,0.169625419,0.019508796,4.66349667,36
12911,12/9/2013,228000,0,0.297166335,0,7.231331108,23
12917,12/9/2013,197368.421052632,0,0.297166335,0,7.379864223,18
12926,12/9/2013,140000,0,0.058543047,0.025609157,15.35400673,9
12937,12/9/2013,159367.76119403,0,0.169625419,0.019508796,6.154473769,36
12991,12/11/2013,153658.536585366,0,0.069670879,0.130617806,7.883206624,27
12999,12/11/2013,176115.384615385,0,0.169625419,0.019508796,6.154473769,36
13054,12/12/2013,167434.2,0,0.169625419,0.019508796,6.154473769,36
13059,12/12/2013,205479.452054795,0,0.169625419,0.019508796,1.508487413,40
13066,12/12/2013,185365.853658537,0,0.070662054,0.035145267,7.982183305,26
13093,12/13/2013,159332.727272727,1,0.169625419,0.019508796,6.154473769,36
13098,12/13/2013,167434.2,0,0.169625419,0.019508796,6.154473769,36
13119,12/14/2013,152500,0,0.069670879,0.130617806,9.197727599,20
13133,12/16/2013,163178.181818182,1,0.169625419,0.019508796,6.035625615,36
13198,12/17/2013,170754.716981132,0,0.133372781,0.309479124,4.83047934,43
13204,12/18/2013,121794.871794872,0,0.083809588,0.371148999,11.99526534,18
13232,12/18/2013,113049.176470588,0,0.058543047,0.025609157,15.63336544,8
13249,12/19/2013,119000,0,0.083809588,0.371148999,13.32601103,10
13300,12/20/2013,222368.421052632,0,0.297166335,0,7.673622428,22
13305,12/20/2013,132130.476190476,0,0.058543047,0.025609157,15.63336544,8
